CONGRESS 2002 to 2010 in ALABAMA
,
Office,State,CensusPop,raceYear,Area,AreaNumber,RedistrictedDate,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
House,Alabama,N/A,2010,District 1,1,20020101,"129,063","Bonner, Josiah Robbins Jr.",Incumbent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"27,218","129,063",R,.00,100.00,.00,
House,Alabama,N/A,2008,District 1,1,20020101,"210,660","Bonner, Josiah Robbins Jr.",Incumbent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"3,707","210,660",R,.00,100.00,.00,
House,Alabama,N/A,2006,District 1,1,20020101,"112,944","Bonner, Josiah Robbins Jr.",Incumbent,"52,770","Beckerle, Vivian Sheffield",Challenger,N/A,N/A,N/A,N/A,127,"60,174",R,.00,68.16,31.84,
House,Alabama,N/A,2004,District 1,1,20020101,"161,067","Bonner, Josiah Robbins Jr.",Incumbent,"93,938","Belk, Judy Mccain",Challenger,Write-in,159,"Other/Unknown, NULL",Challenger,N/A,"67,129",R,.06,63.16,36.84,
House,Alabama,N/A,2002,District 1,1,20020101,"108,102","Bonner, Josiah Robbins Jr.",Challenger,"67,507","Belk, Judy Mccain",Challenger,N/A,N/A,N/A,N/A,"3,078","40,595",R,.00,61.56,38.44,
House,Alabama,N/A,2010,District 2,2,20020101,"111,645","Roby, Martha",Challenger,"106,865","Bright, Bobby",Incumbent,N/A,N/A,N/A,N/A,518,"4,780",R,.00,51.09,48.91,
House,Alabama,N/A,2008,District 2,2,20020101,"142,578","Love, Jay",Challenger,"144,368","Bright, Bobby",Challenger,N/A,N/A,N/A,N/A,448,"1,790",D,.00,49.69,50.31,
House,Alabama,N/A,2006,District 2,2,20020101,"124,302","Everett, Terry",Incumbent,"54,450","James, Charles Dean",Challenger,N/A,N/A,N/A,N/A,167,"69,852",R,.00,69.54,30.46,
House,Alabama,N/A,2004,District 2,2,20020101,"177,086","Everett, Terry",Incumbent,"70,562","James, Charles Dean",Challenger,Write-in,299,"Other/Unknown, NULL",Challenger,N/A,"106,524",R,.12,71.51,28.49,
House,Alabama,N/A,2002,District 2,2,20020101,"129,233","Everett, Terry",Incumbent,"55,495","Woods, Charles",Challenger,N/A,N/A,N/A,N/A,"3,237","73,738",R,.00,69.96,30.04,
House,Alabama,N/A,2010,District 3,3,20020101,"117,736","Rogers, Mike D.",Incumbent,"80,204","Segrest, Steve",Challenger,N/A,N/A,N/A,N/A,199,"37,532",R,.00,59.48,40.52,
House,Alabama,N/A,2008,District 3,3,20020101,"142,708","Rogers, Mike D.",Incumbent,"121,080","Segall, Joshua",Challenger,N/A,N/A,N/A,N/A,332,"21,628",R,.00,54.10,45.90,
House,Alabama,N/A,2006,District 3,3,20020101,"98,257","Rogers, Mike D.",Incumbent,"63,559","Pierce, Greg A.",Challenger,N/A,N/A,N/A,N/A,"3,485","34,698",R,.00,60.72,39.28,
House,Alabama,N/A,2004,District 3,3,20020101,"150,411","Rogers, Mike D.",Incumbent,"95,240","Fuller, William",Challenger,Write-in,133,"Other/Unknown, NULL",Challenger,N/A,"55,171",R,.05,61.23,38.77,
House,Alabama,N/A,2002,District 3,3,20020101,"91,169","Rogers, Mike D.",Challenger,"87,351","Turnham, Joe",Challenger,N/A,N/A,N/A,N/A,"2,703","3,818",R,.00,51.07,48.93,
House,Alabama,N/A,2010,District 4,4,20020101,"167,714","Aderholt, Robert",Incumbent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"2,007","167,714",R,.00,100.00,.00,
House,Alabama,N/A,2008,District 4,4,20020101,"196,741","Aderholt, Robert",Incumbent,"66,077","Sparks, Nicholas B.",Challenger,N/A,N/A,N/A,N/A,349,"130,664",R,.00,74.86,25.14,
House,Alabama,N/A,2006,District 4,4,20020101,"128,484","Aderholt, Robert",Incumbent,"54,382","Bobo, Barbara",Challenger,N/A,N/A,N/A,N/A,206,"74,102",R,.00,70.26,29.74,
House,Alabama,N/A,2004,District 4,4,20020101,"191,110","Aderholt, Robert",Incumbent,"64,278","Cole, Carl A.",Challenger,Write-in,336,"Other/Unknown, NULL",Challenger,N/A,"126,832",R,.13,74.83,25.17,
House,Alabama,N/A,2002,District 4,4,20020101,"139,705","Aderholt, Robert",Incumbent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"21,396","139,705",R,.00,100.00,.00,
